user,bot
شبتون خووووش وراجاااااااا,شبخوشششششش وراجم خودتی
باز کردن گروه,چه جیگریی😂😂😂😂😂
😔😔,باریک
🚶‍♀,چیشده
آفرین خانم مدیر👌👌👌👌😊,هچ
لطفا خانم سن بالا بیاد,اصلتون
سلام,هچ نشده رفتی
یه خانم بیاد پی25سانتی بهش بدم,زشت عتیغه
🚶‍♀🚶‍♀,بنش کن
بنذازش بیرون,کیو
سلام,اینو
سلام,اخطار
یزد کسی هست,نده ععع
یزد داریم,نانوصا تو چی هسنی که عکس تو نزاشتی از خجالتت؟
بچه ی یزد داریم,نداریم
سلام میخام رل بزنم خودم پول دارم پول نمیخام فقط با شخصیت باشه بقیه شرایط رو پیوی میگم لطفا الکی نیاید☺️💋,😡😡
کسی قصد ازدواج داره بیاد خاص,واییی جر😂😂😂\nهمه زشتا اینو میگن 😉
دخی بیا پی,۲۲شمال
حامد ۳۶ از اردبیلم\n\n                     خانم شیطون 💑,من اینو نگفتم
سلام,تموم
حامد ۳۶ از اردبیلم\n\n                     خانم شیطون 💑,اکی من زشت ولی تو زشت تر😂😂😂
سلام😕😐,بسلامتی
سلام,بیو گپو نگا😐
خانم با شخصیت مشهدی هست؟,بخشید ولی اونا احمقن
تو هیچ چیزیی نداریی ک بخوان ذنبالت راه بیوفتن تو کوچه و خیابون,خش
ریپ نزنین,تمومش میکنین
‏قلب گند میزنه، مغز تاوانشو میده...!,ممنون.اصلتون
همه\n\n\nبچه سالید که,عکس نمیدم بهش ک☺️😂😂
۶۰۰نفر آنن بعد ۶نفز چت می کنن🤦‍♀🤦‍♀,😐😂
سلام \n\n  \n\nنهار قرمه سبزی دارم\n\n\n\nخداحافظط,الکی نیس ک
گفتم بسه,خوش❤️
بچه ها کرونا هستا زیاد نزدیکشون نشید,وشوما
لطفا خانم سن بالا بیاد,مهدی 20
صدق الله العلی العظیم,اصل لطفا
حوصلمون پوکید😪,۲۲شمال
تقصیر تو نیست ما زیادی تحویلت گرفتیم :)🚶🏿‍♀️,خوش🌹
مدیر حقوقمون کی میدی,هم
مالک,کوف
کسی سینگل نی,بنواز
سلامپ,من سینگلم 😁
🌿تــو بَرگي از تَقدیر مَني,مرسی همچنین
تقصیر تو نیست ما زیادی تحویلت گرفتیم :)🚶🏿‍♀️,۱۰۰
سلام,☺️😁خو تعویل نگیرید
ناموسن این گپ یاچیزی دیگ😐,بخارک
😐😐,اگجه
😕😐,شیب گوره
😐😐,هچ
بعیده ازمدیرهمچین گپ اذادبزارع اکرخانم باشع)؟,نیک
مشهدیی داریم دخمل باشه,جونم
گپع داغون داغونه😐,جون
بچه ها بای🖐,کوف
صاحبِ آرامشِ روحَمـــی «طُ»,😂😐براچی
لطفا خانم سن بالا بیاد,جون بیو گپو نگا حال واس ما کلاس میزارین ادای تنگارو در میاری😐
ناموسنن زشته بیدبی حرف میزنین امدیم این جاحوصلمون نرع,ارازیل
رل پی,✌️🥀❤️
وقت بخیر,ناموسن تو باخودت چند چندی 🤦🏽‍♂🤦🏽‍♂🤦🏽‍♂🤦🏽‍♂
من لف,با تو دو دو
خوشم نیامد,✋
ارومیه داریم,🚶‍♂🚶‍♂
س,بای
سن بالا هست,بدوییم
نبود,بیا اون ور
اروپا,سلامپ
🚶‍♂🕊🚶‍♂,سلام
👩‍🦯👩‍🦯,نا
بلاک میکنم هرکی بیاد \nبحث شوخی بود,👍✌️🖤
🕊🕊,سکس واقعی چند😂😂😂😂
👩‍🦯👩‍🦯,بیا اونور
سلام,پایه ایی یا الکی فقط یه چی گ فتی
ازصبح فعالم,بیا پی
یک نفرالان میادمیزاری,توخوبی
فقط دوخترهامیزاری مگع پسرهاچشونه,حسود
خوابم گرفت🥴,علیک🙄
👩‍🦯,سلام گلم
😐🚶‍♂,قدم بزنیم
👩‍🦯,سلام
🚶‍♂,چیشده؟؟!
خوبین,خوبی فدا اصل
سلام,سلام
سلام,تف مثلا پسرن😐
😐😐این همه خوشبختی محاله ربات هابهم سلام میکنن😂😍,علیک
دخی بیاد پی,ابرو هرچی پسره بردن
هر روز بیشتر دوستت دارم، امروز بیشتر از دیروز و کمتر از فردا.,سعید بیا اونور
دوستان چت تون خوش,نشی لازمت داره
من فعلا,خوبی
تقصیر تو نیست ما زیادی تحویلت گرفتیم :)🚶🏿‍♀️,باعی
های,نا
نچ فقط آب هلو هم میخوام😌😌🤪,گروه آزاده سوپر میفرستن گروه به فنا میره
سبام,چی
یکی بیاد,که چی
فیلم میخوای بیومو چک کن بدو الان ورش میدارما😐❤️,😂😂
خخ,من دوست ندارم 😂😂😂
راهنما,ببینم عروسک بله میده
هیس خانم مدیر امد 😊😊,ارع من دارم مهدی از صبا خواستگارس می کنم😂😂😂
نفس صبا کو,سکوت علامت رضاست😊😊😊
بیااا عشقت پیدا کردم,رف گل بچینه😂😂
"کاکتوس بودنـ همـ بد نیس,نیاز بـ نوازشـ کسیـ نداری🌵",خخخ
"کاکتوس بودنـ همـ بد نیس,نیاز بـ نوازشـ کسیـ نداری🌵",😂😂
سلام,خخخخ
خوبین,سکوت
سلام,عجله نکن خواهر جان برو گل بچین بعد بیا😊😊
👩‍🦯👩‍🦯,گل دسمه💐💐💐ایناهاش😂😂
🚶‍♂🕊,برو پشت پرده تا نگفتم نیا بیرون 😊😊
خوبین,اون وو👆👆👆👆👆
🚶‍♂,ابراهیم
🚶‍♂,عوام فریبی و هک
حامد ۳۶ از اردبیلم\n\n                     خانم شیطون 💑,خخخ
🚶‍♂🚶‍♂🚶‍♂🚶‍♂🚶‍♂🚶‍♂,ول کن وسط خواستگاری😂
نداره اندازه‌ی من هواتو کسي♡,عروسی دادش بزرگم دوماه پیش✌️
چ خبره  علوسیه😂,عومممم😜😪😢
حامد ۳۶ از اردبیلم\n\n                     خانم شیطون 💑,👍👍جیگرهامه
حامد ۳۶ از اردبیلم\n\n                     خانم شیطون 💑,ببین پوز داداشتو به کسی بده که داداشش پیششه
حامد ۳۶ از اردبیلم\n\n                     خانم شیطون 💑,☹️💙
سیخ کردم لامصب,فهمیدیم بسع
شهرُ گرفتَن بعدِ طُ اَبرآي تيره.🌪,خدارحمتش کنه😔😔
انکه را خوبی کنیم هاری نگیرد ارزوست😂😉,😂😂
صبا کدومتون هستید,ببشید🥺بیا کشک بادمجون درس کردم🍆😈😈😈
🚶‍♂🕊,جون برو میان
حامد جان مادرت سربده😔,ارع تو حلیم مرگ موش برزی زایه نیس😂😂😈😈
😐😐,کو پس
سلام بر همگی🙋‍♂️,مردم زن میگیرن مام زن میگیریم😂
حامد ۳۶ از اردبیلم\n\n                    تنهام\n\n                         خانم شیطون 💑,۱۸تهران
حامد ۳۶ از اردبیلم\n\n                    تنهام\n\n                         خانم شیطون 💑,😕
حامد ۳۶ از اردبیلم\n\n                    تنهام\n\n                         خانم شیطون 💑,هوممم🥺🥺
👩‍🦯,🤣🤣🤣🤣
بوی تنت مث نم بارونه،همونقَدر دیوونه کننده،همونقدر لذت بخش,ببخوبیت برار
سلام میخام رل بزنم باراولمه لطفاباشخصیت بیاد پیوی شرایط بگم الکی نیاید خاهش میکنم🌹,۲۳مشهد
سلام میخام رل بزنم باراولمه لطفاباشخصیت بیاد پیوی شرایط بگم الکی نیاید خاهش میکنم🌹,مهدی دو😂😂
من برم شوهرم رو گازه😂😂,عشقم 😢😢
سلام,😂😂😂
سلام میخام رل بزنم باراولمه لطفاباشخصیت بیاد پیوی شرایط بگم الکی نیاید خاهش میکنم🌹,عه آبپز میکنیش
با منم حرف بزنید,دروغ میگه
😂😐🚶‍♂,بله
سلام میخام رل بزنم باراولمه لطفاباشخصیت بیاد پیوی شرایط بگم الکی نیاید خاهش میکنم🌹,اول اب پز بعد سورخ بعد میزارمش تو فر😂😂
عجب 🤔🤔🤔🤔🤔,اصل
سلام میخام رل بزنم باراولمه لطفاباشخصیت بیاد پیوی شرایط بگم الکی نیاید خاهش میکنم🌹,خخخ
سلام میخام رل بزنم باراولمه لطفاباشخصیت بیاد پیوی شرایط بگم الکی نیاید خاهش میکنم🌹,سلام دوبی؟
فیلم میخوای بیا پی,سعیدراد\nقد۱۷۰ \nوزن ۴۵ \nکنکورکار🙂
از اصفهان کسی هست,۱۰هزار تومن یاده میلیون😍😍😍😍
شوهرم سوخت من برم با اجازه☺☺,نه بدون شوخی گوفتم 🙄
سحراصفهان,خوش
سلووم,بیشتر کارت ب کارت میکنم دلبر🤤
بله,نه زن نه شمر عمر😈😈😂
🚶‍♀🚶‍♀,عشقته😜😜
🚶‍♂🚶‍♂,نه خبر
یه خانومه \n\nخوش اخلاق با ظاهری اراسته \n\nویه کم لوسوملوس بیاد اون فر \n\nبا تشکر \n🙂,💜😕
سلام,حووو نه حبو😂😂
خوب دیگه من رفتم بای مهربونای عزیز✋✋✋✋,خوشبختم
حامد ۳۶ از اردبیلم\n\n                    تنهام\n\n                         خانم شیطون 💑,😂😐من هنوزقصراذاوج ندارم
سلام,سلام
تو برگی از تقدیر منی 🤤✨,✌️❤️
خوبید,🚶‍♂🕊🚬
بد نیس,اصل بده پس😂
شوهرم سوخت مجبور شدم بندازمش🥺🥺,خوش ابجی
تو فکر روز و شبمی . .♡,خوش
💦😕,😐😐✌️
سلام,سیلاملکم حالت خوبه
سلام به اعضای گروه ، مخصوصا مجردایی مثل من,😕😕
هیچکی نیس حرف اینا بپاکه🤦‍♀🤦‍♀,سکوت
سکس چت تصویری حضوری پی وی 😘,سلام چطوری
فیلم جدید میخوای بیا پی,عزل
حامد ۳۶ از اردبیلم\n\n                    تنهام\n\n                         خانم شیطون 💑,سکوت
کی حذف کرد,😈😈😈😎👠💪
🚶‍♂😕,خوبی عزیزم؟
سلام,خدایاشکر بد نیست میگذره
صاحبِ آرامشِ روحَمـــی «طُ»,حامد اردبیل و شما
سلام نادر۲۹,پانیذ۲۵
حامد ۳۶ از اردبیلم\n\n                    تنهام\n\n                         خانم شیطون 💑,به طرفم نگامیکنم
سلام نادر۲۹,هوممم تو شوهرم شوع😁😁
+چرا کشتیش؟\n    - دلم برای شما تنگ شده بود اقای قاضی:(,خیانت تو روز روشن😐
حامد ۳۶ از اردبیلم\n\n                    تنهام\n\n                         خانم شیطون 💑,اصل
حامد ۳۶ از اردبیلم\n\n                    \n\n                         خانم شیطون 💑,دارم🙄🙄🙄🤦‍♀
حامد ۳۶ از اردبیلم\n\n                    \n\n                         خانم شیطون 💑,سلام بروماهت
حامد ۳۶ از اردبیلم\n\n                    \n\n                         خانم شیطون 💑,سلتم
حامد ۳۶ از اردبیلم\n\n                    \n\n                         خانم شیطون 💑,ممنون تو خوبی
تموم زیبایی های توی دنیا خلاصه میشه توو ط♥️,گاییدی خودتو
🌿تــو بَرگي از تَقدیر مَني,خیلی هم زیااااد😐
چطورید,ارع🤦‍♀🤦‍♀
چه خبرا,راحت شدی
"کاکتوس بودنـ همـ بد نیس,نیاز بـ نوازشـ کسیـ نداری🌵",بزار پیدا بشه خیالی نیس😂
حامد ۳۶ از اردبیلم\n\n                    \n\n                         خانم شیطون 💑,ببشیدا ولی انگار صدات از ته چاه میاد😂😂😂😂
تموم زیبایی های توی دنیا خلاصه میشه توو ط♥️,موافقم،اصل ندادی
یه مرد خوب بیاد پی وی پیام بده,۱۸ شمال
سلام,سلام چطوری
چه خبرا,عالی
سلاااااام خولای تو خونع همگروهی های نمونه 😍قول بدین که حرفای مالک یادتون بمونه😄😄😄,پانیذ۲۵متاهل
ایدی میگیرم شماره میدم,اهنگ ساسی و درس بخون😂
اخ عاشق اون اهنگم😋,دانشجویی؟
دشمنا رو میبینی؟ همه از دم آشنان :)),اها چه رشته ای هستی🤔
کسی قصد ازدواج داره بیاد خاص,کجای تهرانی نفس؟
من صادقیه غرب تهران😊,رفتی؟
سلام😐,دکترا😎😎
من مهندسی مکانیک,ارع
هر کی قصد ازدواج موقت داره بیاد پی,من دانشگام دولتیه البته😂
تقصیر تو نیست ما زیادی تحویلت گرفتیم :)🚶🏿‍♀️,خو مال منم هس
واس چی,نرررررریپ
سلام,پی چک
مچکرم خانوم 🙏,وقتی پی ویت اس می دم باید درجا دوخت کنی
ترک هست,وا گوشی رو گزاشتم رفتم دستشویی😐
بیا پی,صنعتی امام حسین
ترک هست اینجا,🙄
سلام کسی بامن آشنا میشه,مسخرت کردم اینم نمی فهمی🤦‍♀🤦‍♀
تموم زیبایی های توی دنیا خلاصه میشه توو ط♥️,هیچی نگفنی رشتت چیه که😐
😐😐,تجربی🤦‍♀🤦‍♀موخوام ماما بشم
🚶🏻😪,خوبی
همش حرف علوسی  ببرو  بزنوو,گفتم پی باش
ترک هست,دوس داری میام
اینجا نمیشه عکس‌بفرستم چرا؟,مگه مردا این دوره زمونه توشون مرررررردم پیدا میشع
محدوده🤦‍♀🤦‍♀,میخوایی‌من ترکت بدم😂🤔
تف😪,🙄
س🤚,🙄🙄🤦‍♀🥺😂😂😂😂
شبی 700 میگیرم,طلا ک نیس
وع,الان با رلت اشتی‌نمیکنی🤔
قیمت دلار رف بالا مگه اینام ب دلار ربط داره😐😂,ولی سوال ریاضی داشتی کمکت میکنم😂
یه عشقم نداریم زنگ بزنه بگه کجایی😪🚶🏻,اها خب پس دعوا هستش😂
سلام,چیا میگوشی حالا؟
🚶🏻,رفتی؟
💦🤤,اها عالی ابراهیم زاده که فوق العادس😂😉
بفرماید قلیون \n😁,😂😂👌👌
💦,خب دیگه چه خبرا؟
کانال سکسی ک داره,ارع
تقصیر تو نیست ما زیادی تحویلت گرفتیم :)🚶🏿‍♀️,نع اونجور بیرون منظورم بود از تل می رم دوباره میام
تو فکر روز و شبمی . .♡,خب بیرون اونجوری‌جالا میری😂🤔
حامد ۳۶ از اردبیلم\n \n\n                       خانم شیطون 💑,چرا😢🤔
حامد ۳۶ از اردبیلم\n \n\n                       خانم شیطون 💑,اینجام تشریف داریا
حامد ۳۶ از اردبیلم\n \n\n                       خانم شیطون 💑,نگا نگا من اینجوری نبین اینقدر می خندم
هیچی دیگ مشکلات شرو شد 😆😂,خیلی🤪🤪🤪
سلام.خوبین؟,😐😐😐😐
نداره اندازه‌ی من هواتو کسي♡,سلام شما خوبی
ما خودمونم خودمونو تنها گذاشتیم رفتیم دیگه از شما که توقعی نداریم🚶🏻‍♀️,تو ناراحتی من راحتم🤦‍♀🤦‍♀
س,هع😏
چارتا دخی جدید نمیان ازیت کنیم😪,به در می گی دیوار بشنوه🤦‍♀🤦‍♀
بوی تنت مث نم بارونه،همونقَدر دیوونه کننده،همونقدر لذت بخش,اینقدر سرکار هستی که اکیوت پایینه از اول نهادت سرکار🤦‍♀🤦‍♀🤦‍♀🤦‍♀🤦‍♀
"➖🍇⃤why do you say you love me,\n    if you are only going to leave me?\n    \n    چرا میگی دوستم داری وقتی قصد داری ترکم کنی؟♥️",قشنگ😂
عجب,شاید
بای,چرا مگه عزراییلی😊😐
‌‌‌‌\nتو\nآن اکتشافِ عاشقانه ای\nکه نمی شود\nبا کسی در میان گذاشت♥\n‌‌‌‌,چقدر بد میرقصی😂😂😂
سلام,😐🚶‍♀
سلام جیگرا,مرصـ
سلام,نمیشع باید جفتی بریم قبر دو طبقع بزنن😂
کاش یکی بود باهاش میرفتم بیرون دور دور خسته شدم همش خونه🙁,ممنون خوبم اصل میدی
🌿تــو بَرگي از تَقدیر مَني,.!؟
کی فیلم سوپر داره,..∞
سلام😕😕😕,خوش
اول😐,مرس
🚶‍♂🚶‍♂🚶‍♂🚶‍♂🚶‍♂🚶‍♂,چون وقت خوابه
من آن گلبرگ مغرورم ک میمیرم ز بی آبی ولی با منت و خاری پی شبنم نمیگردم‌...,واسع چی🤦‍♀🤦‍♀
😕,چرا😐
دروغ کنتور نداره!,میشه بشه
تنهایی دلم گرفت یکی نیس باهاش چت کنم.بیادپیویم,سلام
🤧,نوچ
😐😑,خب دیگه چه خبرا😂🤔
ه ینی چی😐,مسخره میکنی
خبی,اوکی
😪,خوبم ط خبی
نفس,مرگ
استیکرو بازکنین😐,راضیم😂😂
صبح بخیر,۲۱ته
😐😂,مرسی
عجب بابا عجب😂,چرا🤔
هوا بیسته,آره طلاقم گرفتن😂😂😂
😻,خوشبختم فلاحم 21قزوین
اومدم حیاط عالیع,👐👐
خوش بگڋره,منم ببر جیگر
میگذره,مرسی
فاز میده,بای
عجب,بلیت بگیر بعد
😹,چرا بخاطر این ک خوب نرقصیدی🙈👀😁😁
صبحتون لاو,🙄🙄
باعی,گرفتم امادهی سفرم
چت نمیکنید,چیه
برم گپا دیگ,اول صبح
بزار بیان بالا,ها
سلام,پس تو ب رقصت ادامه بدع😁😁😂💃💃💃
صبحتون بخیر,باشه
صبح بخیر,هر کی بت چیزی گفت بامن طرفه
اول صبحی در چ حالید,فدات.بیابچتیم
من ک خوبم,😂😂
وری گود,چشم😂❤️
کی بیدار شدی؟!,😳😳
نخوابیدم دیشب,اره روت حساسم مشکلیه
🚶‍♀🚶‍♀,اره
سلام,اها
ی شب زنده دار پی وی😂,خوبه ولی باید روری ۱۰ ساعت بخونی😂
تو اون گروه ربات ها گروه رو ریختن بهم از دیشب دارن باهم حرف میزنن😂,بیا
عوضی روانی,کی موجود میشه🤣
تنهایی دلم گرفت یکی نیس باهاش چت کنم.بیادپیویم,نه باوا همشون باید برن مدرسه😂😂😂
اول😐,خوشبحالت
مدرسه تو کرونا😯,چون وقت خوابه
من آن گلبرگ مغرورم ک میمیرم ز بی آبی ولی با منت و خاری پی شبنم نمیگردم‌...,توام مد میری ؟
😕,به سلامتی خیلی ام عالی منم دانشگاهم داره تمام میشه
بعدشم سربازی اگه خدا بخواد😀,میشه بشه
من انصراف دادم از دانشگاه,سلام
😂,رباته🙊
این هزینه رو برای هرچیز دیگه خرج کنم ارزشش بیشتر,ه
😂,😐
ه ینی چی😐,س بار تایپ کردی😂
خبی,خخخخ
ریدی😐,اهوازی هستین؟
از دیشب بیدارم,اهوم خودم فهمیدم تو نگو😂😂
توام؟,اصل بیدی
😬😆,بله
ما برنامه ریزی شدیم برای آمریکا😆,بگیری😐
من هنوزم نمیتونم بخوابم,خوش کجاه هستی
خوز,دقیقا منم همینطور
باید بتونی حذف کردن و تو زندگیت اول از یاد گرفتنِ همه چیز یاد بگیری...\nبعدش کم‌کم شروع کنی تو درونِ خودت و تو تنهایی خودت، تمرین کنی...\nبعدش آدمایِ جدید به زندگیت وارد میشن و قدم میزارن...\nبعد از اون بعضی هاشون ممکنِ بدونِ هیچ دلیلِ موجهی و بدون هیچ خبری از زندگیت محو بِشَن ، \nجوری که خودَتَم حتی به ذهنت خطور نمیکنه اون لحظه،\n که آیا اصلا چنین کسی توو زندگیت  وجود داشته؟ \nدقیقا تو اون بُرهه از زند,خوش
صبح بخیر,مراقب خودتون باشید
😂,خعش
😴,خوبی
‌\nگاهي وقتا سكوت همون دروغه ،\nكمي شيك تر با مسئوليت كمتر!!!\n‌‌‌‌‌‌‌‌‎‌‌‎‌‌,خوبی
چه سکوتی,مرسی
سکوت اخرین سنگره,خوبم تو خوبی
س,ن
‏اگه براتون زحمتی نیست ما رو از خوب بودن پشیمون نکنید :),فداو
😐,چرا🤔
😐😐😐,آهوم
همینطور,😂
خو,هنوز خوابت نبرده ؟
اومدم حیاط عالیع,این پین بشه لطفا
😐,اووووشت اول صبح سیگار
صب و ظهر قشنگتون بخیر باشه😁🍃🌸,کجاخ
چت نمیکنید,همچنین
برم گپا دیگ,سنجاق
بزار بیان بالا,شکر خدا  ۲۵ اهواز شما
شیفت شبم,خوش اومدی\n۲۰ شیراز بهبهان
اوک,خوش
کی بیدار شدی؟!,مرامتو😉👍
نخوابیدم دیشب,علیک
کسی هی,خوبم
من از اونام که دوربین جلو باهام قهره\nدوربین پشت هم رابطه ی خوبی باهام نداره\nبا آینه هم روابطم جالب نیست\nفی الواقع فقط مامانم نمیگه زشتی 😐😂,اها
ی شب زنده دار پی وی😂,سلام گلم خوبی
تو اون گروه ربات ها گروه رو ریختن بهم از دیشب دارن باهم حرف میزنن😂,بخووبیتم عزیزدلم❤😘😍
شلامممممم,ندارمش
😑,نه باوا همشون باید برن مدرسه😂😂😂
خوبید,خوشبحالت
سلام مهسا,اره
بعدشم سربازی اگه خدا بخواد😀,خوبی عزیز
😂,شکر عالیمم
بعدشم مگه قرار چی بشه با درس خوندن,هنو داره مرور میشه ؟😑😐
وقتتون بخیر,آهان
😂,خوبی
از دیشب بیدارم,نه.یه اهنگ دیگه گوش میدم
توام؟,درود مسعود.وقت شما هم بخیر
منم همین طور,ممنونم
ما برنامه ریزی شدیم برای آمریکا😆,فدات تو خوبی
من هنوزم نمیتونم بخوابم,منم خوبم شکر
هنو نرفتم خونه,😐😂خوش به حالت \nباش برو خوش بگذره بهت😌❤️
باید بتونی حذف کردن و تو زندگیت اول از یاد گرفتنِ همه چیز یاد بگیری...\nبعدش کم‌کم شروع کنی تو درونِ خودت و تو تنهایی خودت، تمرین کنی...\nبعدش آدمایِ جدید به زندگیت وارد میشن و قدم میزارن...\nبعد از اون بعضی هاشون ممکنِ بدونِ هیچ دلیلِ موجهی و بدون هیچ خبری از زندگیت محو بِشَن ، \nجوری که خودَتَم حتی به ذهنت خطور نمیکنه اون لحظه،\n که آیا اصلا چنین کسی توو زندگیت  وجود داشته؟ \nدقیقا تو اون بُرهه از زند,شکر خوبم تو خوبی ؟
😴,😑😐
‌\nگاهي وقتا سكوت همون دروغه ،\nكمي شيك تر با مسئوليت كمتر!!!\n‌‌‌‌‌‌‌‌‎‌‌‎‌‌,چیههه😂
چه سکوتی,یه سالشه 😐
هیچ وقت برام تولد یک سالگی نگرفتن😔☹️😢😂🚶‍♀,خواهش میشه
س,نمایشگاه کجایی
سلام خوشکلاااا وقتتون بخیر😍😍💐💐😘😘🖐🖐,سلام
😐,خوبی عزیزم؟
😐😐😐,تشکر حال شما ؟
صباح الخیر,فدات گلم تو چطوری
مردم با زندگی میسازند\nمن با لبخندت کل زندگیم را,😂😂😂😂😘😘
سلام,😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐۱۱ سالته
سلام,غصه نخور😢😂😂
‏ژاپنی‌ها ماسک هوشمند ساختند که میتونه حرفای شما رو به هشت زبان مختلف ترجمه کنه !\n\n\n\n\n\nاونوقت ماسک من گرما بهش میخوره کشاش در میره!😂😂😂‌,🖐🖐
بچه  همکارم یبار شب ادراری کرده پنج جلسه بردنش روانکاو\n\nاونوقت من بچگیام شبا تو خواب راه میرفتم\n\n\n\n بابام دستم جارو میداده خونه رو هم جاروبکشم😐😁😂🤲,نشدم😕
🚶‍♂🚶‍♂🚶‍♂🚶‍♂,سلام
منو رلم میریم کیف قاپی,شکر خدا  ۲۵ اهواز شما
باورنکردنی,خوش اومدی\n۲۰ شیراز بهبهان
ولی خوب بود😐,خوش
منو این همه خوشبختی محال محال,سلام
😂🤦‍♀,جواب سلامت کجاس
عا,چشم بصیرت میخواست دیدنش ک متاسفانه نداشتی
😂😐,خوبی
سلام,مرسی شماخوبی
امتحانمو خوب دادم🤭,علیک
من از اونام که دوربین جلو باهام قهره\nدوربین پشت هم رابطه ی خوبی باهام نداره\nبا آینه هم روابطم جالب نیست\nفی الواقع فقط مامانم نمیگه زشتی 😐😂,امتحانمو خوب دادم🤭
ساعت 6 صبم آنلاین هستین😒😒😒😑😑😑,خدارو شکر واقعا باید خدارو شکر کرد این یه شگفتی بود
میزنم تو سرتا,بخووبیتم عزیزدلم❤😘😍
یالا,😐😐😐😐😐😐😐
🚶‍♂🚶‍♂🚶‍♂🚶‍♂,شکر 😌❤️
😑,سنجاق
😑,چه زشت😐
اهواز,سلام
نبود,قربونت عزیزم❤😘
حرکت کردیم,بخوبیت 😐❤️
کسی انفجار بازی میکنه بیاد پی,خوبی عزیز
سلام,شکر عالیمم
سلام,اره دارم
وقتتون بخیر,ممنون تو خوبی
🚶‍♀,سلام
🙂🙂🙂,مچکرم مرسی
تو  راه شرکتم,تشکر 🌸
اگه برسم عالیه,سلام
🌹,خوبی
ملاثانی.شهر موانع,درود مسعود.وقت شما هم بخیر
دو تا از کلمه هایه بازی مونده رو مخمه😱,بر شرفت تو خوبی
موانع جاده ای,تشکر🌸
😐😐😐😐,فدات تو خوبی
😂,☺
😐😐😐,چرا خوش بحالم😂عزیزمی قربونت
چ خبره من الکی داشتم میزدم رو کلمات,😐ببرمت فارابی یا زوده ؟
دیگ نمیدونم,😐تولد دارید
قبولم میکنن یانه,اگه یه لحظه مشغله ی‌ منو داشتی خودکشی میکردی
ولی خوب دادم خیلی,شک نکن😐👍
بازکردن استیکر,عه جدی میگی
چتونع🙁,یه سالشه 😐
هیچ وقت برام تولد یک سالگی نگرفتن😔☹️😢😂🚶‍♀,😂😂
سلام خوشکلاااا وقتتون بخیر😍😍💐💐😘😘🖐🖐,شیری یا روباه ؟
کاش پارتی بازی نکنن🙁,اون سالگرده 😐😂🤦‍♀
🤦‍♂🤦‍♂🤦‍♂,😐😐
😐,🖐🖐
چقد هوا شرجی بدیه,نشدم😕
بعد من هم سن اینا بودم به رستوران میگفتم نستوران😐,نمیدونم😐😂
🚶‍♂🚶‍♂🚶‍♂🚶‍♂,مگه اصفهان هم شرجیه
وای مردم از هوا,😂😂😂😂😂
پختم,ن شماها زیادی دراکولا شدین😐
ولی خوب بود😐,خیر
منو این همه خوشبختی محال محال,🙏
دیگه نمیام😱خوزستان,چشم بصیرت میخواست دیدنش ک متاسفانه نداشتی
امتحانمو خوب دادم🤭,بیا بابا اینا دارن تو رو میترسونن
تو دلم جنگ😐,😒😒😒
میزنم تو سرتا,بخدا الان مگه من اهواز نیستم
یالا,نه مطون باش😄
🚶‍♂🚶‍♂🚶‍♂🚶‍♂,زیر کولر میگی خوبه😐😐😐
🚶‍♂🚶‍♂🚶‍♂🚶‍♂,آره دیگه 😅
😑,این که شهر خودت بهترین الان خوزستانی ها  اکثرا مینالن😐از گرماش
اهواز,زندگی ک مصداق بشریت داشته باشه فقط شمال
نبود,خیلی ام خوبه اونی ک میناله مال خوزستان نی😉
حرکت کردیم,خوب شهرهای دیگه هم زمستون مینالن ازسرما
سلام,😜😜😜😜
😐😐😐,جرعت چی😐
سلام,برو باو انگار خوزستان تازه اومدم، نصف عمرم اونجا گذشت  کاملا واقفم به اوضاع و احوال شهر و مردم شهر
والا از استان های دیگ میان اینجا زندگی کنن بعد مینالن از گرما بعد بقیه فکر میکنن خوزستانی ها میگن,خوبی مسیح جان
🙂🙂🙂,هست
تو  راه شرکتم,برو ولی بازبرخواهی گشت
آگه ب من باشه میرم کلاردشت یا شیراز😍,منم خبرخاصی نیست جزسلامتی
🌹,مگه میشه آدم برای شهر خودش تنگ نشه ولی اینجا شهری نیست ک آدم بتونه زندگی کنه
ملاثانی.شهر موانع,اگه اذیت میشین ماهشهربیاین دزفول رودخونه دزهم هست همه هم ازش راضین
بازم مثل همیشه خلوته,برویه کم استراحت کن
😐😐,اروغ
😂,خوب دیگه ادم نبایدبه خاطردلش هرکاری بکنه که
😐😐😐,مگه آدم چند بار میخواد زندگی کنه ک خودشو ب آرزوهاش نرسونه
دیگ نمیدونم,بگوباغ ملک آره ولی دهدزنه
قبولم میکنن یانه,من اهوازم هااا  زنگ تفریحم دزفوله😐
سلام ک جواب بلد نیستین بی ادبا,مگه آدم چشه
بریم لف,عه جدی میگی
چتونع🙁,سالیان سال
😂😂😂😂,اومدی کجا لب رودخونه
کاش پارتی بازی نکنن🙁,امید شمال چیز دیگست البته دریاشو نمیگم فقط کوه وجنگلش
🤦‍♂🤦‍♂🤦‍♂,انشالله سری بعد من خدمتم چهارم شکاری بود مرخصی ساعتی همش دزفول میومدم
